"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           9,                 0,      -5.431468933,      -2.401120509,      -3.138203568,    0.002681256729,      -1.606447249,       3.211105742
          1,           0,           9,             0.003,      -5.940012427,      -2.704985844,      -3.801339413,     -0.7901363564,      -1.653335376,       2.954552591
          2,           0,           9,             0.006,      -6.083219677,      -2.891239775,      -3.976767155,      -1.397243617,      -1.791279431,       2.551862409
          3,           0,           9,             0.009,      -6.153583558,      -3.030168835,      -4.014190633,      -1.665922664,      -1.939353195,       2.206310577
          4,           0,           9,             0.012,      -6.212627536,      -3.142407123,      -4.037071491,      -1.768706619,        -2.0736547,       1.999806789
          5,           0,           9,             0.015,      -6.245101025,      -3.233240192,      -4.050717725,      -1.830892744,      -2.189771528,       1.856561083
          6,           0,           9,             0.018,      -6.252915822,       -3.30768105,        -4.0587925,      -1.855261696,      -2.290031521,       1.733643036
          7,           0,           9,             0.021,      -6.249334943,      -3.369804624,      -4.062436722,      -1.862197987,      -2.377877997,       1.624912148
          8,           0,           9,             0.024,      -6.235138765,      -3.422908337,      -4.064291596,      -1.867542447,      -2.456141667,       1.529954049
          9,           0,           9,             0.027,      -6.215843611,      -3.468349875,      -4.065076975,      -1.870952567,      -2.526861029,       1.446928135
